Agency,Organization,Account Type,Character Code,Object,2015,2016,2017,2018
50 -  LIBRARY,50100 - LIB PUBLIC SERVICE,Revenue,41 - GENERAL REVENUES,41110 - REAL ESTATE TAXES," 	(11,355,535)"," 	(11,941,627)"," 	(12,603,779)"," 	(13,080,448)"
30 -  FIRE,30270 - FIRE INVESTIGATION,Expense,54 - PURCHASED SERVICES,54520 - CONFERENCES AND TRAINING," 	4,555 ", 	482 , 	765 , 	146 
31 -  POLICE,31110 - CANINE,Expense,53 - SUPPLIES,53210 - WORK SUPPLIES," 	4,561 ", 	214 , 	-   ," 	2,386 "
45 -  TRAFFIC ENGINEERING,45505 - TE SIGNALS MAINTENANCE,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT," 	4,564 "," 	6,534 "," 	6,605 "," 	12,355 "
45 -  TRAFFIC ENGINEERING,45404 - TE COMM INSTALL OR REMOVE,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT," 	4,567 "," 	1,546 ", 	679 , 	733 
50 -  LIBRARY,50223757 - LIB COMM ENGAGE ADULT PINNEY,Expense,54 - PURCHASED SERVICES,54695 - PROGRAM SERVICES," 	4,570 "," 	8,472 "," 	8,125 "," 	3,266 "
51 -  PARKS,51246 - PARK MTC CONSERVATION,Expense,57 - INTER DEPART CHARGES,57176 - ID CHARGE FROM WORKERS COMP," 	4,573 ", 	-   , 	-   , 	-   
45 -  TRAFFIC ENGINEERING,45881 - TE PED BIKE SAFETY EDUCATION,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	4,578 ", 	186 , 	-   , 	-   
40 -  ENGINEERING,40126 - ENG STREETS FENCE MAINTENANCE,Expense,54 - PURCHASED SERVICES,54810 - OTHER SERVICES AND EXPENSES," 	4,580 "," 	1,779 ", 	-   ," 	1,304 "
40 -  ENGINEERING,40121 - ENG STREETS GENERAL,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	4,598 "," 	4,128 "," 	4,481 "," 	9,059 "
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	4,601 "," 	8,243 "," 	11,831 "," 	11,016 "
44 -  STREETS,44331 - ST SNOW REMOVAL HAULING,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS," 	4,609 ", 	735 , 	155 , 	164 
31 -  POLICE,31145 - INVESTIGATIVE SUPPORT GENERAL,Expense,52 - BENEFITS,52413 - WAGE INSURANCE BENEFIT," 	4,627 ", 	-   , 	-   , 	-   
62 -  COMMUNITY DEVELOPMENT,62112 - HOUSING ASSISTANCE GF,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS," 	4,631 "," 	5,783 "," 	1,644 "," 	5,760 "
51 -  PARKS,51220 - PARK MTC FORESTRY GENERAL,Expense,51 - SALARIES,51120 - PREMIUM PAY," 	4,648 "," 	2,726 "," 	2,350 "," 	2,606 "
51 -  PARKS,51242 - PARK MTC WEST PARKS,Expense,51 - SALARIES,51120 - PREMIUM PAY," 	4,662 "," 	2,347 "," 	1,900 "," 	1,333 "
51 -  PARKS,51242 - PARK MTC WEST PARKS,Expense,53 - SUPPLIES,53415 - TIRES," 	4,688 "," 	1,665 ", 	-   , 	486 
31 -  POLICE,31125 - EAST,Expense,52 - BENEFITS,52711 - TUITION," 	4,692 ", 	-   , 	-   , 	-   
17 -  INFORMATION TECHNOLOGY,17100 - IT APPLICATION DEVELOP SUPPORT,Expense,52 - BENEFITS,52413 - WAGE INSURANCE BENEFIT," 	4,703 "," 	3,990 "," 	5,460 "," 	5,942 "
30 -  FIRE,30110703 - FIRE GEN FIELD OP STATION 3,Expense,54 - PURCHASED SERVICES,54110 - NATURAL GAS," 	4,713 "," 	3,058 "," 	3,338 "," 	3,402 "
44 -  STREETS,44101 - ST SOLID WASTE ADMIN,Expense,53 - SUPPLIES,53120 - COPY PRINTING SUPPLIES," 	4,719 "," 	5,485 "," 	7,145 "," 	6,733 "
45 -  TRAFFIC ENGINEERING,45202 - TE STLIGHT PLAN AND REVIEW,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	4,724 "," 	2,298 "," 	2,626 "," 	2,575 "
31 -  POLICE,31292 - RECORDS GENERAL,Expense,52 - BENEFITS,52413 - WAGE INSURANCE BENEFIT," 	4,729 ", 	-   , 	-   , 	-   
45 -  TRAFFIC ENGINEERING,45100 - TE SIGNING,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	4,732 "," 	1,216 ", 	664 ," 	3,349 "
51 -  PARKS,51210 - PARK MTC FOREST ADMIN,Expense,53 - SUPPLIES,53120 - COPY PRINTING SUPPLIES," 	4,733 "," 	9,263 "," 	12,582 "," 	13,739 "
51 -  PARKS,51245 - PARK MTC CONSTRUCTION,Expense,53 - SUPPLIES,53210 - WORK SUPPLIES," 	4,738 "," 	2,809 "," 	3,590 "," 	6,748 "
40 -  ENGINEERING,40110 - ENG ADMIN DIVISION,Expense,57 - INTER DEPART CHARGES,57145 - ID CHARGE FROM TRAFFIC ENGINEE," 	4,740 "," 	4,306 "," 	3,815 "," 	2,755 "
65 -  PLANNING,65110 - PL NEIGHBORHOOD PLANNING,Expense,51 - SALARIES,51140 - COMPENSATED ABSENCE," 	4,745 "," 	5,087 "," 	6,085 "," 	9,765 "
45 -  TRAFFIC ENGINEERING,45220 - TE STLIGHT ONE CALL,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	4,748 "," 	6,769 "," 	7,927 "," 	7,354 "
31 -  POLICE,31153 - FORENSICS,Expense,52 - BENEFITS,52413 - WAGE INSURANCE BENEFIT," 	4,757 ", 	-   , 	-   , 	-   
51 -  PARKS,51247 - PARK MTC PARK RANGERS,Expense,57 - INTER DEPART CHARGES,57176 - ID CHARGE FROM WORKERS COMP," 	4,772 ", 	-   , 	-   , 	-   
45 -  TRAFFIC ENGINEERING,45801 - TE PED BIKE ADMIN,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	4,790 "," 	5,424 "," 	5,573 "," 	4,004 "
31 -  POLICE,31299655 - WEST PD SUPPORT,Expense,54 - PURCHASED SERVICES,54112 - ELECTRICITY," 	4,800 ", 	-   , 	-   , 	-   
31 -  POLICE,31145 - INVESTIGATIVE SUPPORT GENERAL,Expense,54 - PURCHASED SERVICES,54520 - CONFERENCES AND TRAINING," 	4,803 "," 	2,880 ", 	969 , 	618 
40 -  ENGINEERING,40471 - ENG FAC MAINT BUILDING MAINT,Expense,54 - PURCHASED SERVICES,54225 - ELEVATOR REPAIR," 	4,808 "," 	4,866 "," 	2,632 "," 	4,982 "
10 -  ASSESSOR,10120 - ASSESSOR PERSONAL PROPERTY,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	4,815 "," 	4,879 "," 	5,167 "," 	5,218 "
40 -  ENGINEERING,40139 - ENG MEDIAN MAINTENANCE,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT," 	4,818 "," 	10,070 "," 	2,887 "," 	3,696 "
31 -  POLICE,31102 - FIELD GENERAL OVERALL,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	4,829 ", 	-   , 	-   , 	-   
44 -  STREETS,44334 - ST SNOW MISCELLANEOUS,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	4,846 "," 	5,176 ", 	188 , 	352 
30 -  FIRE,30113 - FIRE HEAVY URBAN RESCUE TEAM,Expense,53 - SUPPLIES,53210 - WORK SUPPLIES," 	4,847 "," 	6,039 "," 	1,169 "," 	1,136 "
50 -  LIBRARY,50100757 - LIB PUBLIC SERVICE PINNEY,Expense,51 - SALARIES,51120 - PREMIUM PAY," 	4,852 "," 	5,308 "," 	5,450 "," 	5,257 "
40 -  ENGINEERING,40251 - ENG MAPPING GENERAL,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS," 	4,864 "," 	8,294 "," 	9,605 "," 	8,324 "
30 -  FIRE,30110 - FIRE GEN FIELD OP,Expense,54 - PURCHASED SERVICES,54320 - COMMUNICATION DEVICE RPR MAIN," 	4,866 ", 	94 ," 	5,624 "," 	2,167 "
20 -  MUNICIPAL COURT,20100 - MUNICIPAL COURT,Expense,51 - SALARIES,51140 - COMPENSATED ABSENCE," 	4,869 "," 	5,072 "," 	6,688 "," 	6,807 "
50 -  LIBRARY,50100751 - LIB PUBLIC SERVICE CENTRAL,Expense,54 - PURCHASED SERVICES,54515 - MILEAGE," 	4,887 "," 	3,454 "," 	6,188 "," 	6,742 "
44 -  STREETS,44501 - ST STREET REPAIR MAINT ADMIN,Expense,54 - PURCHASED SERVICES,54113 - WATER," 	4,889 "," 	6,198 "," 	5,676 "," 	5,886 "
44 -  STREETS,44401 - ST STREET SWEEPING ADMIN,Expense,54 - PURCHASED SERVICES,54113 - WATER," 	4,889 "," 	6,198 "," 	5,676 "," 	2,547 "
31 -  POLICE,31200 - POLICE SUPPORT,Expense,54 - PURCHASED SERVICES,54520 - CONFERENCES AND TRAINING," 	4,890 "," 	5,980 "," 	1,162 "," 	1,530 "
45 -  TRAFFIC ENGINEERING,45104 - TE SIGNING INSTALL OR REMOVE,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	4,890 "," 	10,101 "," 	8,219 "," 	9,333 "
40 -  ENGINEERING,40129 - ENG STREETS EXCAVATION PERMIT,Expense,54 - PURCHASED SERVICES,54645 - CONSULTING SERVICES," 	4,897 "," 	2,262 ", 	686 ," 	9,330 "
31 -  POLICE,31166657 - TRAINING CENTER BLDG,Expense,54 - PURCHASED SERVICES,54113 - WATER," 	4,905 "," 	6,003 "," 	6,487 "," 	6,644 "
50 -  LIBRARY,50100 - LIB PUBLIC SERVICE,Expense,52 - BENEFITS,52716 - POST EMPLOYMENT HEALTH PLANS," 	4,923 "," 	5,361 "," 	5,592 "," 	5,647 "
51 -  PARKS,51160 - PARK COM REC REC SERVICES,Expense,53 - SUPPLIES,53155 - PROGRAM SUPPLIES," 	4,933 "," 	20,954 "," 	8,821 "," 	11,791 "
51 -  PARKS,51242 - PARK MTC WEST PARKS,Expense,54 - PURCHASED SERVICES,54120 - TELEPHONE," 	4,944 "," 	2,508 "," 	1,600 ", 	679 
51 -  PARKS,51210 - PARK MTC FOREST ADMIN,Expense,54 - PURCHASED SERVICES,54510 - RECRUITMENT," 	4,946 "," 	2,023 "," 	5,182 "," 	4,352 "
31 -  POLICE,31156 - PARKING,Expense,51 - SALARIES,51120 - PREMIUM PAY," 	4,959 ", 	18 , 	415 , 	421 
45 -  TRAFFIC ENGINEERING,45881 - TE PED BIKE SAFETY EDUCATION,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS," 	4,970 ", 	209 , 	-   , 	-   
44 -  STREETS,44401 - ST STREET SWEEPING ADMIN,Expense,57 - INTER DEPART CHARGES,57140 - ID CHARGE FROM ENGINEERING," 	4,975 ", 	-   ," 	5,000 "," 	5,000 "
31 -  POLICE,31155 - TRAFFIC AND SPECIAL SERVICES,Expense,52 - BENEFITS,52413 - WAGE INSURANCE BENEFIT," 	4,976 ", 	43 , 	-   , 	-   
30 -  FIRE,30270 - FIRE INVESTIGATION,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS," 	4,976 "," 	5,000 "," 	5,229 "," 	4,612 "
31 -  POLICE,31170 - ACADEMY,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT," 	4,982 ", 	-   , 	-   , 	-   
40 -  ENGINEERING,40139 - ENG MEDIAN MAINTENANCE,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT," 	4,998 "," 	1,797 "," 	1,710 "," 	1,596 "
45 -  TRAFFIC ENGINEERING,45201 - TE STLIGHT ADMIN,Expense,51 - SALARIES,51210 - HOURLY WAGES," 	5,001 ", 	256 , 	-   , 	-   
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,51 - SALARIES,51210 - HOURLY WAGES," 	5,004 ", 	318 , 	68 , 	-   
17 -  INFORMATION TECHNOLOGY,17200 - IT TECHNICAL SERVICES,Expense,53 - SUPPLIES,53110 - OFFICE SUPPLIES," 	5,007 "," 	8,551 "," 	3,768 "," 	3,997 "
50 -  LIBRARY,50400751 - LIB FACILITIES CENTRAL,Expense,54 - PURCHASED SERVICES,54114 - SEWER," 	5,022 "," 	4,402 "," 	3,114 "," 	3,164 "
51 -  PARKS,51246 - PARK MTC CONSERVATION,Expense,53 - SUPPLIES,53413 - EQUIPMENT SUPPLIES," 	5,036 "," 	5,579 "," 	5,072 "," 	4,756 "
20 -  MUNICIPAL COURT,20100 - MUNICIPAL COURT,Expense,54 - PURCHASED SERVICES,54686 - INTERPRETERS SIGNING SERVICES," 	5,040 "," 	3,323 "," 	2,994 "," 	3,579 "
50 -  LIBRARY,50400751 - LIB FACILITIES CENTRAL,Expense,53 - SUPPLIES,53325 - HVAC SUPPLIES," 	5,065 "," 	3,468 "," 	45,524 "," 	10,341 "
21 -  TREASURER,21100 - TREASURER,Expense,53 - SUPPLIES,53110 - OFFICE SUPPLIES," 	5,095 "," 	2,262 "," 	1,765 "," 	2,277 "
50 -  LIBRARY,50223751 - LIB COMM ENGAGE ADULT CENTRAL,Expense,54 - PURCHASED SERVICES,54815 - GRANTS," 	5,104 ", 	-   , 	-   , 	(2)
45 -  TRAFFIC ENGINEERING,45801 - TE PED BIKE ADMIN,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS," 	5,111 "," 	5,979 "," 	6,300 "," 	4,351 "
45 -  TRAFFIC ENGINEERING,45300 - TE PAVE MARK,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	5,134 ", 	8 , 	-   , 	1 
51 -  PARKS,51170 - PARK COM REC GOODMAN POOL,Expense,51 - SALARIES,51140 - COMPENSATED ABSENCE," 	5,148 "," 	7,746 "," 	3,940 "," 	5,456 "
65 -  PLANNING,65223 - PL TRANSPORTATION PLAN NON MPO,Expense,51 - SALARIES,51140 - COMPENSATED ABSENCE," 	5,149 "," 	5,326 "," 	5,605 "," 	5,661 "
40 -  ENGINEERING,40115 - ENG ADMIN PRIVATE DEVELOPMENT,Expense,51 - SALARIES,51320 - OVERTIME WAGES HOURLY," 	5,178 "," 	2,363 "," 	3,252 "," 	3,773 "
30 -  FIRE,30133 - FIRE APPLICANT PROMOTION,Expense,53 - SUPPLIES,53165 - BOOKS AND SUBSCRIPTIONS," 	5,189 ", 	410 ," 	1,644 ", 	-   
40 -  ENGINEERING,40145 - ENG STREETS DUTCH MILL PNR MNT,Expense,51 - SALARIES,51110 - PERMANENT WAGES," 	5,193 "," 	4,425 "," 	2,838 "," 	3,219 "
44 -  STREETS,44101 - ST SOLID WASTE ADMIN,Expense,54 - PURCHASED SERVICES,54645 - CONSULTING SERVICES," 	5,200 "," 	13,650 ", 	650 , 	-   
45 -  TRAFFIC ENGINEERING,45404 - TE COMM INSTALL OR REMOVE,Expense,54 - PURCHASED SERVICES,54335 - SYSTEM AND SOFTWARE MAINTENANC," 	5,224 ", 	-   , 	-   , 	-   
40 -  ENGINEERING,40121 - ENG STREETS GENERAL,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS," 	5,225 "," 	4,704 "," 	4,931 "," 	10,187 "
51 -  PARKS,51180 - PARK COM REC OLBRICH GENERAL,Expense,54 - PURCHASED SERVICES,54120 - TELEPHONE," 	5,230 "," 	5,750 "," 	6,176 "," 	3,432 "
65 -  PLANNING,65112 - PL MADISON ARTS PROGRAM,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	5,242 "," 	5,369 "," 	5,708 "," 	5,750 "
65 -  PLANNING,65220 - PL PLAN COMMISSION DEV REVIEW,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT," 	5,245 "," 	2,268 "," 	1,742 ", 	-   
45 -  TRAFFIC ENGINEERING,45305 - TE PAVE MARK MAINTENANCE,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS," 	5,263 "," 	5,078 "," 	5,234 "," 	5,267 "
62 -  COMMUNITY DEVELOPMENT,62442 - CRISIS SUPPORT SERVICES,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	5,275 "," 	5,652 "," 	1,580 "," 	3,400 "
44 -  STREETS,44660 - ST WEED CONTROL,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	5,276 "," 	4,921 "," 	5,169 "," 	4,947 "
31 -  POLICE,31292 - RECORDS GENERAL,Expense,53 - SUPPLIES,53140 - HARDWARE SUPPLIES," 	5,284 "," 	4,345 "," 	4,202 "," 	3,422 "
45 -  TRAFFIC ENGINEERING,45202 - TE STLIGHT PLAN AND REVIEW,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS," 	5,287 "," 	2,618 "," 	2,922 "," 	2,926 "
30 -  FIRE,30252 - FIRE INSPECTION ELEVATOR,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT," 	5,295 "," 	11,371 "," 	8,552 "," 	3,067 "
10 -  ASSESSOR,10120 - ASSESSOR PERSONAL PROPERTY,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS," 	5,305 "," 	5,404 "," 	5,545 "," 	5,594 "
51 -  PARKS,51243 - PARK MTC CENTRAL PARKS,Expense,57 - INTER DEPART CHARGES,57175 - ID CHARGE FROM INSURANCE," 	5,305 "," 	5,865 "," 	8,515 "," 	6,217 "
30 -  FIRE,30110720 - FIRE GEN FIELD OP ADMIN,Expense,54 - PURCHASED SERVICES,54121 - CELLULAR TELEPHONE," 	5,312 "," 	5,199 "," 	6,033 "," 	3,791 "
44 -  STREETS,44101 - ST SOLID WASTE ADMIN,Expense,54 - PURCHASED SERVICES,54120 - TELEPHONE," 	5,338 "," 	3,033 "," 	3,529 "," 	1,486 "
10 -  ASSESSOR,10120 - ASSESSOR PERSONAL PROPERTY,Expense,54 - PURCHASED SERVICES,54515 - MILEAGE," 	5,347 "," 	3,673 "," 	4,464 "," 	4,715 "
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS," 	5,349 "," 	9,215 "," 	12,878 "," 	12,280 "
14 -  COMMON COUNCIL,14100 - COMMON COUNCIL,Expense,53 - SUPPLIES,53120 - COPY PRINTING SUPPLIES," 	5,349 "," 	9,339 "," 	10,352 "," 	8,471 "
31 -  POLICE,31292 - RECORDS GENERAL,Expense,53 - SUPPLIES,53120 - COPY PRINTING SUPPLIES," 	5,359 "," 	6,206 "," 	5,470 "," 	6,836 "
44 -  STREETS,44662 - ST GRAFFITI REMOVALS,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	5,366 "," 	4,317 "," 	4,537 "," 	3,974 "
45 -  TRAFFIC ENGINEERING,45404 - TE COMM INSTALL OR REMOVE,Expense,51 - SALARIES,51140 - COMPENSATED ABSENCE," 	5,379 "," 	6,259 "," 	8,483 "," 	5,100 "
44 -  STREETS,44334 - ST SNOW MISCELLANEOUS,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS," 	5,379 "," 	5,827 ", 	206 , 	404 
45 -  TRAFFIC ENGINEERING,45220 - TE STLIGHT ONE CALL,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS," 	5,417 "," 	7,826 "," 	8,931 "," 	8,358 "
65 -  PLANNING,65111 - PL PRESERVATION PLANNING,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	5,421 "," 	5,270 "," 	5,879 "," 	3,644 "
44 -  STREETS,44110 - ST REFUSE COLLECTION,Expense,54 - PURCHASED SERVICES,54210 - BUILDING IMPROV REPAIR MAINT," 	5,423 "," 	10,630 "," 	8,567 "," 	4,981 "
45 -  TRAFFIC ENGINEERING,45503 - TE SIGNALS DESIGN,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT," 	5,429 "," 	2,539 ", 	703 , 	267 
51 -  PARKS,51245 - PARK MTC CONSTRUCTION,Expense,54 - PURCHASED SERVICES,54330 - EQUIP IMPROV REPAIR MAINT," 	5,434 "," 	5,788 "," 	8,945 "," 	10,913 "
50 -  LIBRARY,50400759 - LIB FACILITIES SOUTH MADISON,Expense,54 - PURCHASED SERVICES,54320 - COMMUNICATION DEVICE RPR MAIN," 	5,448 "," 	6,332 "," 	1,678 "," 	1,678 "
31 -  POLICE,31146 - SPECIAL INVESTIGATIONS UNITS,Expense,52 - BENEFITS,52413 - WAGE INSURANCE BENEFIT," 	5,449 ", 	-   , 	-   , 	-   
50 -  LIBRARY,50223755 - LIB COMM ENGAGE ADULT MEA,Expense,53 - SUPPLIES,53155 - PROGRAM SUPPLIES," 	5,457 "," 	3,592 ", 	389 ," 	2,206 "
31 -  POLICE,31102651 - CENTRAL PD FIELD,Expense,54 - PURCHASED SERVICES,54120 - TELEPHONE," 	5,458 "," 	5,467 "," 	4,813 "," 	4,423 "
40 -  ENGINEERING,40116 - ENG ADMIN INSPECTION SURVEY,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT," 	5,473 "," 	7,199 "," 	8,791 "," 	8,555 "
44 -  STREETS,44116 - ST TRANSFER STATION OTHER,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	5,474 "," 	6,235 "," 	4,309 "," 	6,098 "
45 -  TRAFFIC ENGINEERING,45104 - TE SIGNING INSTALL OR REMOVE,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS," 	5,478 "," 	11,531 "," 	9,151 "," 	10,443 "
11 -  ATTORNEY,11100 - ATTY ORDINANCE ENFORCEMENT,Expense,53 - SUPPLIES,53165 - BOOKS AND SUBSCRIPTIONS," 	5,482 "," 	3,724 "," 	4,753 "," 	2,799 "
31 -  POLICE,31100 - POLICE FIELD,Expense,53 - SUPPLIES,53420 - GASOLINE," 	5,497 "," 	5,487 "," 	5,623 "," 	7,863 "
45 -  TRAFFIC ENGINEERING,45300 - TE PAVE MARK,Expense,57 - INTER DEPART CHARGES,57140 - ID CHARGE FROM ENGINEERING," 	5,500 "," 	4,909 "," 	4,909 "," 	4,909 "
62 -  COMMUNITY DEVELOPMENT,62441 - YOUTH SERVICES,Expense,54 - PURCHASED SERVICES,54810 - OTHER SERVICES AND EXPENSES," 	5,500 "," 	5,500 "," 	21,500 "," 	5,500 "
65 -  PLANNING,65111 - PL PRESERVATION PLANNING,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS," 	5,502 "," 	5,638 "," 	6,355 "," 	3,995 "
50 -  LIBRARY,50100 - LIB PUBLIC SERVICE,Expense,51 - SALARIES,51210 - HOURLY WAGES," 	5,512 "," 	3,311 "," 	1,300 "," 	18,661 "
31 -  POLICE,31102 - FIELD GENERAL OVERALL,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT," 	5,526 ", 	874 , 	-   , 	-   
44 -  STREETS,44221 - ST LEAF COLLECTION,Expense,51 - SALARIES,51140 - COMPENSATED ABSENCE," 	5,540 "," 	5,381 "," 	4,770 "," 	4,616 "
40 -  ENGINEERING,40126 - ENG STREETS FENCE MAINTENANCE,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT," 	5,550 "," 	7,737 "," 	11,538 ", 	1 
65 -  PLANNING,65113 - PL URBAN DESIGN COMMISSION,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM," 	5,556 "," 	5,453 ", 	238 , 	-   
60 -  BUILDING INSPECTION,60100 - BI INSPECTION,Expense,52 - BENEFITS,52413 - WAGE INSURANCE BENEFIT," 	5,566 "," 	5,992 "," 	6,714 "," 	6,692 "
50 -  LIBRARY,50400751 - LIB FACILITIES CENTRAL,Expense,54 - PURCHASED SERVICES,54245 - PROCESS FEES RECYCLABLES," 	5,595 "," 	2,764 "," 	3,166 "," 	2,053 "
45 -  TRAFFIC ENGINEERING,45803 - TE PED BIKE DESIGN,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT," 	5,610 "," 	5,744 "," 	7,461 ", 	-   
51 -  PARKS,51230 - PARK MTC FACILITY MAINTENANCE,Expense,54 - PURCHASED SERVICES,54215 - WASTE DISPOSAL," 	5,622 "," 	39,267 "," 	36,290 "," 	12,729 "
31 -  POLICE,31140 - WEST,Expense,53 - SUPPLIES,53110 - OFFICE SUPPLIES," 	5,623 "," 	4,990 "," 	3,671 "," 	3,236 "
51 -  PARKS,51230 - PARK MTC FACILITY MAINTENANCE,Expense,54 - PURCHASED SERVICES,54810 - OTHER SERVICES AND EXPENSES," 	5,629 "," 	8,989 ", 	394 ," 	1,604 "
45 -  TRAFFIC ENGINEERING,45105 - TE SIGNING MAINTENANCE,Expense,51 - SALARIES,51210 - HOURLY WAGES," 	5,635 "," 	5,490 "," 	78,149 "," 	84,929 "
40 -  ENGINEERING,40113 - ENG ADMIN FLEET MAINTENANCE,Expense,57 - INTER DEPART CHARGES,57141 - ID CHARGE FROM FLEET SERVICES," 	5,646 "," 	95,795 "," 	5,194 "," 	5,889 "
31 -  POLICE,31155 - TRAFFIC AND SPECIAL SERVICES,Expense,54 - PURCHASED SERVICES,54330 - EQUIP IMPROV REPAIR MAINT," 	5,648 "," 	4,680 "," 	3,227 "," 	1,960 "
45 -  TRAFFIC ENGINEERING,45101 - TE SIGNING ADMIN,Expense,51 - SALARIES,51210 - HOURLY WAGES," 	5,655 ", 	-   , 	-   , 	-   
44 -  STREETS,44220 - ST RECYCLING COLLECTION,Expense,57 - INTER DEPART CHARGES,57145 - ID CHARGE FROM TRAFFIC ENGINEE," 	5,658 "," 	5,446 "," 	4,497 ", 	378 
31 -  POLICE,31200 - POLICE SUPPORT,Expense,54 - PURCHASED SERVICES,54350 - LEASE RENTAL OF EQUIPMENT," 	5,675 "," 	13,886 "," 	13,874 "," 	13,728 "
40 -  ENGINEERING,40121 - ENG STREETS GENERAL,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT," 	5,682 "," 	5,800 "," 	7,106 "," 	15,459 "
60 -  BUILDING INSPECTION,60500 - BI SYSTEMATIC CODE ENFORCEMENT,Expense,54 - PURCHASED SERVICES,54620 - LEGAL SERVICES," 	5,691 "," 	5,057 "," 	2,572 "," 	4,612 "
45 -  TRAFFIC ENGINEERING,45502 - TE SIGNALS PLAN AND REVIEW,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT," 	5,699 "," 	10,907 "," 	14,553 "," 	16,052 "
51 -  PARKS,51247 - PARK MTC PARK RANGERS,Expense,53 - SUPPLIES,53120 - COPY PRINTING SUPPLIES," 	5,699 ", 	-   , 	-   , 	-   
62 -  COMMUNITY DEVELOPMENT,62331 - NBRHD CTRS AND CMTY GARDENS GF,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT," 	5,725 ", 	465 ," 	9,094 "," 	6,681 "
10 -  ASSESSOR,10130 - ASSESSOR COMMERCIAL,Expense,54 - PURCHASED SERVICES,54515 - MILEAGE," 	5,731 "," 	4,677 "," 	2,077 "," 	2,788 "
50 -  LIBRARY,50400752 - LIB FACILITIES HAWTHORNE,Expense,54 - PURCHASED SERVICES,54860 - TAXES AND SPECIAL ASSESSMENTS," 	5,745 "," 	6,267 "," 	6,267 "," 	6,552 "
62 -  COMMUNITY DEVELOPMENT,62551 - CD DIVISION 27 PRGM ADMIN,Expense,57 - INTER DEPART CHARGES,57175 - ID CHARGE FROM INSURANCE," 	5,763 "," 	8,270 "," 	31,949 "," 	30,487 "
45 -  TRAFFIC ENGINEERING,45305 - TE PAVE MARK MAINTENANCE,Expense,53 - SUPPLIES,53235 - SAFETY SUPPLIES," 	5,775 "," 	1,106 ", 	82 , 	-   
