Incident,Date,Incident Type,Address,Updated
"Firefighters Find Carbon Monoxide In West-Side Basement","07/06/2017","Carbon Monoxide","1800 Block Lynndale Road, Madison, WI 53719",""
"Backyard Burn Brings Firefighters To the Neighborhood","07/06/2017","Outdoor","800 Block Valley Road, Madison, WI 53703",""
"Cardboard and Other Recyclables Catch Fire In Collection Truck","07/06/2017","Vehicle","2700 Block Marshall Court, Shorewood Hills, WI",""
"Fireworks Set Off In Apartment Complex Trigger Alarm; No Injuries","07/05/2017","Fireworks","1100 Block Morraine View Drive, Madison, WI 53705",""
"Vehicle Causes Significant Damage After Crashing Into Garage","07/03/2017","Structure","7800 Block Twinflower Drive, Madison, WI",""
"With the Help Of Braille, Paramedics Assist East-Side Resident Who Fell","07/02/2017","Assist Citizen","East Side, Madison, WI",""
"Firefighters Put A Stop To Small Bonfire Off John Nolen Drive","07/01/2017","Trash/Rubbish","John Nolen & Broom Street, Madison, WI 53703",""
"One Seriously Injured In West-Side Crash","07/01/2017","Vehicle","S. Gammon Road & Gammon Place, Madison, WI 53719",""
"Smoke Scare Traced Back To Faulty AC Unit","06/30/2017","Appliance","900 Block Watson Ave, Madison, WI",""
"Alarm Prompts Evacuation Of East-Side Complex","06/28/2017","Alarm Investigation","800 Block East Washington Ave, Madison, WI 53703",""
"Multiple People Injured In East Washington Crash","06/28/2017","Vehicle","E. Washington & N. First Street, Madison, WI 53703","Updated: 06/29/2017"
"Burned Food Sends Firefighters To Petra Place","06/27/2017","Cooking","1100 Block Petra Place, Madison, WI 53713",""
"Kitchen Fire Causes Minor Damage At Porchlight","06/26/2017","Structure","300 Block N. Brooks Street, Madison, WI 53706",""
"Large Branch Knocks Out Electrical, Cable Service For East-Side Home","06/24/2017","Power lines down","5100 Block Sherven Drive, Madison, WI 53704",""
"Engine 5 Responds To Vehicle Fire on Beltline","06/23/2017","Vehicle","Eastbound US Highway 12 & Eastbound I-90, Madison, WI",""
"Wayward SUV Misses Paramedic, Strikes Ladder Truck","06/22/2017","Vehicle","6700 Block Crescent Road, Madison, WI 53703",""
"Firefighters Respond To Cooking Fire On Marcy Road","06/22/2017","Cooking","3400 Block Marcy Road, Madison, WI 53713",""
"Cyclist Injured In Traffic Collision","06/21/2017","Vehicle","Odana Road & Whitney Way, Madison, WI 53705",""
"Unattended Grill Spurs Small Fire On North Side","06/20/2017","Outdoor","1900 Block Thackeray Road, Madison, WI",""
"Dumpster Fire Ignites Outside Cheesecake Factory","06/19/2017","Trash/Rubbish","10 Block West Towne Mall, Madison, WI 53713",""
"Three Displaced After Fire At 4900 Block of Whitcomb Drive","06/19/2017","Structure","4900 Block Whitcomb Drive, Madison, WI",""
"Autoclave Trips Smoke Alarm In Campus Building","06/19/2017","Smoke Scare","400 Block Henry Mall, Madison, WI 53706",""
"Flames Seen Atop West Side Business Traced To Electrical Box","06/19/2017","Electrical","2700 Block Todd Drive, Madison, WI 53704",""
"Fire Damages Unoccupied Downtown Condo; Investigation Underway","06/19/2017","Structure","200 Block S. Bedford Street, Madison, WI 53703",""
"Lake Rescue Team Treats Woman Injured On Lake Monona","06/18/2017","Lake Rescue","Lake Monona, Monona, WI 53716",""
"Dumpster Fire Believed To Be the Result Of Discarded Charcoal","06/18/2017","Trash/Rubbish","7700 Block Radcliffe Drive, Madison, WI",""
"Vehicle Breaks Down, Starts On Fire, Near Stoughton Road","06/17/2017","Vehicle","Highway 30 & N. Stoughton Road, Madison, WI 53715",""
"Firefighters Get Crash Course In Soda Machine Maintenance At Local McDonald's","06/16/2017","Carbon Monoxide","4500 Block University Ave, Madison, WI 53705",""
"Flames Seen After Electrical Outlet Shorts Out In Downtown Office","06/15/2017","Electrical","600 Block N. Frances Street, Madison, WI 53703",""
"One Extricated, Transported Following Single-Vehicle Crash","06/15/2017","Vehicle","Old Sauk Rd. & US Highway 12 (Westbound), Madison, WI 53717",""
"Ladder 6 Puts A Stop To Small Outside Trash Fire","06/15/2017","Trash/Rubbish","John Nolen Drive & North Shore Drive, Madison, WI 53703",""
"Large Diesel Leak Contained, Cleaned Up On North Side","06/14/2017","Fuel Spill","600 Block Vera Court, Madison, WI 53706",""
"Two Cars Damaged In East-Side Crash; No Injuries","06/13/2017","Vehicle","Dunning St. & Atwood Ave, Madison, WI 53703",""
"No Injuries After U-haul Strikes Canopy Post Outside Regent Street Business","06/12/2017","Vehicle","1200 Block Regent Street, Madison, WI 53706",""
"Lake Rescue Team Tows Disabled Boat To Shore","06/11/2017","Lake Rescue","Squaw Bay, Lake Monona, Madison, WI 53716",""
"Downed Power Lines Ignite Backyard Fire","06/10/2017","Outdoor","3900 Block Plymouth Circle, Madison, WI",""
"Tree Branch Takes Down Power Line Behind Car Dealership","06/10/2017","Electrical","1300 Block Applegate Road, Madison, WI",""
"Fire Destroys Playground","06/07/2017","Structure","5200 Block Milward Dr, Madison, WI 53711",""
"Hazardous Incident Team Called To Lux Apartments","06/07/2017","Hazmat","400 Block W. Johnson Street, Madison, WI 53703",""
"Firefighters Remove Espresso Maker From Unattended Stovetop","06/07/2017","Smoke Scare","500 Block W. Wilson Street, Madison, WI 53703",""
"Bathtub Overflows, Damaging Smoke Detectors In Apartment Below","06/07/2017","Water Leak","900 Block Acewood Blvd, Madison, WI",""
"Firefighters Rescue Family Stranded Upstairs After SUV Crashes Into Building","06/04/2017","Vehicle","3100 Block Silverton Trail, Madison, WI 53719",""
"One Transported To Hospital After Being Pinned Under Vehicle","06/04/2017","Vehicle","Pine Street, Madison, WI 53715",""
"Ladder 2 Called To Vehicle Fire Outside Walmart","06/04/2017","Vehicle","7200 Block Watts Road, Madison, WI 53706",""
"No Injuries after Car Hits Ella's Deli","06/03/2017","Vehicle","2900 Block E. Washington Ave, Madison, WI 53704",""
"Dumpster Fire Prompts Evacuation Of Goodwill Industries Offices","06/02/2017","Structure","1300 Block Mendota St, Madison, WI 53706","Updated: 06/05/2017"
"Fire Damages Several Trees On North Side","06/01/2017","Outdoor","600 Block Wheeler Road, Madison, WI 53715",""
"MFD Heavy Urban Rescue Team Assists In Cambria","05/31/2017","Special Rescue","500 Block Williams Street, Cambria, WI",""
"Motorcyclist Injured After Veering Off The Road","05/31/2017","Vehicle","Millpond Road & US Highway 12 Eastbound, Madison, WI 53706",""
"Firefighters Put Out Grass Fire On City's West Side","05/31/2017","Outdoor","700 Block Forward Drive, Madison, WI 53706",""
"Discarded Cigarette Likely Culprit In Small Fire Involving Railroad Tie","05/31/2017","Outdoor","S. Baldwin St. & E. Wilson St, Madison, WI 53706",""
"Nobody Home As Firefighters Pull Food From Active Stovetop","05/30/2017","Cooking","300 Block N. Baldwin St, Madison, WI 53703",""
"Four Transported to UW Hospital","05/29/2017","Vehicle","S. Gammon Road/USH 12 WB S. Gammon Rd Off Ramp, Madison, WI",""
"One Injured In East Washington Ave. Rollover Crash","05/28/2017","Vehicle","1900 Block East Washington Ave, Madison, WI 53706",""
"Battery Charger Overheats, Prompting Fire Department Response","05/27/2017","Structure","1400 Block Pflaum Road, Madison, WI 53705",""
"Charcoal Discarded Too Soon Causes Small Fire; Damage Averted","05/25/2017","Trash/Rubbish","500 Block Blackbird Lane, Madison, WI 53714",""
"Three Injured In Two-Car Crash","05/24/2017","Vehicle","S. Whitney Way & Raymond Rd, Madison, WI 53705",""
"Firefighters Assist Two Stranded On Downtown Balcony","05/23/2017","Lock out/Lock in","400 Block W. Gorham Street, Madison, WI 53703",""
"Car Fire Extinguished On Cottage Grove Road","05/23/2017","Vehicle","Cottage Grove Road & Inwood Way, Madison, WI",""
"Early Morning Fire Displaces Family","05/23/2017","Structure","1100 Block Valley Stream, Madison, WI","Updated: 05/23/2017"
"Teens Flee Illegal Fire On Garver Feed Mill Property","05/19/2017","Outdoor","3200 Block Atwood Ave, Madison, WI 53703",""
"Discarded Coals Ignite A Fire Outside Northside Home","05/19/2017","Structure","1700 Block Fremont Ave, Madison, WI 53706",""
"Trash Catches Fire In Garbage Truck During Routine Collection","05/19/2017","Trash/Rubbish","Roth Street & N. Sherman Ave, Madison, WI 53706",""
"Gas Leak Prompts Small Evacuation On Near West Side","05/19/2017","Gas Leak","S. Breese Terrace, Madison, WI 53713",""
"Fire Causes Heavy Damage to Vacant Home","05/17/2017","Structure","4600 Block Bunker Hill Lane, Madison, WI",""
"Cigarette Causes Deck Fire Behind Home","05/17/2017","Structure","2000 Block Browning Rd, Madison, WI 53704",""
"Gas Line Hit During Excavation","05/16/2017","Gas Leak","1300 Block W. Badger Road, Madison, WI 53713",""
"No Injuries After Car Hits Building","05/15/2017","Vehicle","Madison, WI",""
"Smoke Scare At East Side Pub Places Pinball Machine Out Of Service","05/11/2017","Excessive heat/scorch","1400 Block East Washington Ave, Madison, WI 53703",""
"Overloaded Wash Machine Sends Firefighters To West Side Laundromat","05/11/2017","Excessive heat/scorch","500 Block Grand Canyon Drive, Madison, WI 53705",""
"Alarms At State Crime Lab Traced Back To Steam","05/11/2017","Smoke Scare","4600 Block University Ave, Madison, WI 53706",""
"Grease Fire At Park Street Restaurant; No Damage Or Injuries","05/09/2017","Cooking","600 Block S. Park Street, Madison, WI 53706",""
"Gas Leak In Downtown Apartment Prompts Reminder About Early Reporting","05/09/2017","Gas Leak","300 Block W. Mifflin Street, Madison, WI 53703",""
"Fire Displaces North Side Family; Nobody Injured","05/07/2017","Structure","800 Block Northland Drive, Madison, WI 53704",""
"Vehicle Left Running Causes Air Quality Issues In West Side Garage","05/05/2017","Assist Citizen","600 Block N. Segoe Road, Madison, WI 53707",""
"Rubbish Fire At Dane County Landfill Deemed Accidental","05/04/2017","Trash/Rubbish","7100 Block US Highway 12 & 18, Madison, WI 53718",""
""Smoke" Reported At Local Hospital Believed To Be Steam","05/02/2017","Smoke Scare","200 Block S. Park Street, Madison, WI 53703",""
"Firefighters Discover Burning Plastic Inside East Side Apartment","04/28/2017","Odor Investigation","2500 Block E. Johnson Street, Madison, WI 53706",""
"Two Injured, One Extricated, In West-Side Crash","04/28/2017","Vehicle","Old Sauk Road & N. Pleasant View Road, Madison, WI 53707",""
"Cyclist Suffers Minor Injuries In East-Side Collision","04/25/2017","Vehicle","Dolores Drive & Vondron Road, Madison, WI 53704",""
"Firefighters Called To East Side Auto Shop","04/25/2017","Outdoor","2300 Block S. Stoughton Road, Madison, WI 53713",""
"Malfunctioning Motor Sends Firefighters To West Side Hotel","04/25/2017","Alarm Investigation","400 Block Commerce Drive, Madison, WI",""
"Eagle Heights Dumpster Fire May Be Linked To Discarded Smoking Materials","04/24/2017","Trash/Rubbish","900 Block Eagle Heights Drive, Madison, WI 53706",""
"Pizza Box Left Inside Oven Prompts Fire Department Response","04/23/2017","Cooking","600 Block Mendota Court, Madison, WI 53703",""
"Two Transported To Hospital Following Crash On Lake Street","04/23/2017","Vehicle","400 Block N. Lake Street, Madison, WI 53703",""
"Cause Of West-Side Dumpster Fire Unknown","04/23/2017","Trash/Rubbish","6700 Block Schroeder Road, Madison, WI 53705",""
"Fire at West Side Home Displaces Three People","04/23/2017","Structure","10 Block N. Roby, Madison, WI 53726","Updated: 04/27/2017"
"One Injured In Hit-And-Run Crash","04/22/2017","Vehicle","W. Dayton Street / N. Randall Street, Madison, WI 53706",""
"Smoke-Charged Apartment Traced To Unattended Cooking","04/20/2017","Cooking","7100 Block Tree Lane, Madison, WI 53707",""
"One Injured After Car Crashes Into East-Side Walgreens","04/20/2017","Vehicle","100 Block Cottage Grove Rd, Madison, WI 53704",""
"Paint Thinner Spills In Back Of Delivery Truck; Driver Evaluated","04/19/2017","Hazmat","500 Block Tasman Street, Madison, WI 53706",""
"One Injured In Whitney Way Crash","04/18/2017","Vehicle","200 Block S. Whitney Way, Madison, WI 53705",""
"Firefighters Ask Man To Move Grill Due To Safety Concerns","04/18/2017","Unauthorized Burning","2400 Block Independence Lane, Madison, WI 53706",""
"Stream From Dryer Vent Causes Smoke Scare On North Side","04/18/2017","Smoke Scare","1900 Block Pond Street, Madison, WI 53716",""
"Pizza Burns As Downtown Man Sleeps","04/15/2017","Cooking","100 Block S. Bassett St, Madison, WI 53703",""
"Nevada Drive Fire Under Investigation","04/13/2017","Structure","1400 Block Nevada Drive, Madison, WI 53704",""
"One Displaced From Downtown Apartment Following Cooking Fire","04/13/2017","Cooking","700 Block University Ave, Madison, WI 53706",""
"Smoke Detector Activation Points To Burnt Beans On Unattended Stovetop","04/12/2017","Cooking","2300 Block Allied Drive, Madison, WI 53713",""
"Nobody Injured In Early-Morning Fire","04/12/2017","Structure","1900 Block East Washington Ave, Madison, WI 53703","Updated: 04/12/2017"
""
"Downtown Restaurant Closed Tuesday Due To Carbon Monoxide Leak","04/11/2017","Carbon Monoxide","400 Block State Street, Madison, WI 53703",""
"Firefighters respond to a duplex fire on the 3800 block of Sunbrook Road","04/10/2017","Structure","3800 Block Sunbrook Road, Madison, WI 53704",""
"Grease Fire Causes $5,000 in Damage","04/08/2017","Structure","2900 Block Cimerron Trail, Madison, WI 53719",""
"Firefighters Discover Smoldering Tree Stump On Henry Street","04/08/2017","Outdoor","400 Block N. Henry Street, Madison, WI 53703",""
"One Taken To Hospital Following Single-Vehicle Crash","04/08/2017","Vehicle","2100 Block E. Johnson St, Madison, WI 53703",""
"Fire Consumes SUV On Interstate; No Injuries","04/07/2017","Vehicle","I-90 Westbound, Madison, WI 53717",""
"Sparking Water Heater Sends Firefighters To Downtown Restaurant","04/06/2017","Electrical","400 Block State Street, Madison, WI 53703",""
"Malfunctioning Hand Dryer Sends Firefighters To Campus Library","04/03/2017","Excessive heat/scorch","700 Block State Street, Madison, WI 53703",""
"Gorham Street Vehicle Fire Accidental; Traced To Car Battery","04/03/2017","Vehicle","700 Block E. Gorham St, Madison, WI 53703",""
"One Injured In Two-Car Crash","04/03/2017","Vehicle","Aberg Ave. & Packer Ave, Madison, WI 53704",""
"Car A Total Loss Following Fire","03/31/2017","Vehicle","2500 Block Calypso Road, Madison, WI 53706",""
"One Rescued From Stalled Downtown Elevator","03/31/2017","Elevator","100 Block E. Mifflin Street, Madison, WI 53703",""
"Oven A Total Loss After Cutting Board Catches Fire In Broiler Drawer","03/29/2017","Cooking","1900 Block Fisher Street, Madison, WI 53703",""
"Fuel Tank Falls From Truck, Spilling Gasoline On North Side","03/28/2017","Vehicle","Anderson Street & Pankrats Street, Madison, WI 53707",""
"Firefighters Extinguish Vehicle Fire On Eastbound Beltline","03/28/2017","Vehicle","I90 westbound / Highway 12 eastbound, Madison, WI 53706",""
"Cooking Fire On Flagstone Drive Displaces Four; Nobody Injured","03/27/2017","Cooking","8300 Block Flagstone Drive, Madison, WI 53717",""
"Firefighters Rescue Cat From A Tree","03/27/2017","Animal rescue","300 Block Grand Canyon Drive, Madison, WI 53715",""
"One Transported Following Rollover Crash On Segoe Road","03/25/2017","Vehicle","Mineral Point Road & S. Segoe Road, Madison, WI",""
"No Injuries In Willy Street Rollover Crash","03/24/2017","Vehicle","1100 Block Williamson Street, Madison, WI 53703",""
"Firefighters Use Ladder To Free Man Trapped Under Vehicle","03/24/2017","Assist Citizen","2800 Block Dryden Drive, Madison, WI 53715",""
"At Least Two Homes Affected By Lightning Strikes Thursday Evening","03/23/2017","Lightning Strike","Madison, WI 53705",""
"Dumpster Carrying Construction Waste Catches Fire; Cause Unknown","03/21/2017","Trash/Rubbish","Post Road / Syene Road, Madison, WI 53706",""
"Edgewood Smoke Scare Traced To Art Room Kiln","03/21/2017","Smoke Scare","900 Block Woodrow Street, Madison, WI 53714",""
"Winter Glove Holds Up Downtown Elevator","03/20/2017","Elevator","200 Block Martin Luther King, Jr. Blvd, Madison, WI 53703",""
"Overloaded Dryer Catches Fire In West Side Home","03/19/2017","Appliance","70 Block Oak Creek Trail, Madison, WI 53707",""
"Firefighters Respond To Balcony Fire; No Injuries","03/18/2017","Structure","N. Third Street, Madison, WI 53703","Updated: 03/30/2017"
"Unauthorized Burns Prompt Springtime Reminder About Outdoor Fires","03/17/2017","Unauthorized Burning","Madison, WI",""
"Vehicle Tips Over Following East Washington Collision; No Injuries","03/16/2017","Vehicle","E. Washington & N. First Street, Madison, WI 53703",""
"Faulty Hoverboard Sparks A Call To The Fire Department","03/14/2017","Assist Citizen","1900 Block Northport Drive, Madison, WI 53703",""
"Firefighters Free Woman Trapped Under File Cabinet","03/14/2017","Special Rescue","300 Block E. Wilson Street, Madison, WI 53703",""
"Vehicle Fire in Parking Ramp Causes $7,000 in damage. No Injuries.","03/14/2017","Vehicle","200 Block S. Park Street, Madison, WI 53715",""
"Fire Damages Backyard Sauna On East Dayton Street","03/13/2017","Structure","1900 Block E. Dayton Street, Madison, WI 53703",""
"Vehicle Damages Craft Store On Monona Drive","03/12/2017","Vehicle","4100 Block Monona Drive, Madison, WI 53713",""
"Vehicle Strikes Utility Box, Causing Power Outage On East Side","03/11/2017","Electrical","5100 Block Brandenburg Way, Madison, WI 53716",""
"Firefighters Called To Illegal Bonfire Behind Garver Feed Mill","03/10/2017","Unauthorized Burning","3200 Block Atwood Ave, Madison, WI 53713",""
"Water Leak Prompts Alarm, Evacuation At Downtown Apartment Complex","03/10/2017","Water Leak","400 Block W. Gorham Street, Madison, WI 53715",""
"Allied Drive Fire A Result Of Carelessly-Discarded Smoking Materials","03/10/2017","Smoking","2100 Block Allied Drive, Madison, WI 53713",""
"Neighbor Reports Fire On Downtown Balcony","03/08/2017","Structure","300 Block S. Hamilton Street, Madison, WI 53703",""
"Three "Booms" Heard Before Firefighters Are Called To Grass Fire","03/08/2017","Power lines down","2400 Block Esch Lane, Madison, WI 53711",""
"Large Tree Takes Down Power Lines On East Side","03/08/2017","Power lines down","900 Block Pflaum Road, Madison, WI 53704",""
"Clothes Catch Fire At Local Laundromat; Static Electricity May Be To Blame","03/07/2017","Appliance","2800 Block Todd Drive, Madison, WI 53713",""
"Family Comes Home To Dryer Fire On Buckeye Road","03/07/2017","Appliance","4500 Block Buckeye Road, Madison, WI 53705",""
"Firefighters Called To Downtown Apartment For Small Grease Fire","03/06/2017","Cooking","100 Block W. Johnson Street, Madison, WI 53703",""
"Single-Vehicle Crash Causes Multiple Hazards, No Injuries","03/05/2017","Vehicle","Watts Rd. & Struck St, Madison, WI 53713",""
"Madison Firefighters Extinguish Smoky Furniture Store Fire","03/04/2017","Electrical","2200 Block East Springs Dr, Madison, WI",""
"Engine 5 Contains Fuel Leak On Interstate Highway","03/02/2017","Vehicle","I-90 Westbound & Cottage Grove Rd, Madison, WI 53718",""
"Firefighters Remove Door To Access Burning Food","02/27/2017","Smoke Scare","300 Block W. Wilson Street, Madison, WI 53703",""
"Smoking Pan Found On Unattended Stove; No Damage Or Injuries","02/27/2017","Smoke Scare","Moorland Road, Madison, WI 53706",""
"Ten People Displaced After Fire at East Side Apartment Building","02/26/2017","Structure","700 Block N Thompson Drive, Madison, WI","Updated: 02/27/2017"
"Car Troubles A Precursor To Vehicle Fire On East Dayton Street","02/25/2017","Vehicle","E. Dayton Street & N. Third Street, Madison, WI 53703",""
"Lint Catches Fire In North Lawn Ave. Basement","02/25/2017","Appliance","500 Block North Lawn Ave, Madison, WI 53703",""
"Large Tree Limb Damages Roof Of West Side Home","02/24/2017","Assist Citizen","5200 Block Whitcomb Drive, Madison, WI 53717",""
"Employees Extinguish Small Kitchen Fire At Downtown Restaurant","02/24/2017","Cooking","300 Block State Street, Madison, WI 53703",""
"Overheated Air Purifier Sends Firefighters To West Side Apartment","02/24/2017","Electrical","Coronado Court, Madison, WI 53717",""
"Car Damaged By Fire Due To Carelessly Discarded Smoking Materials","02/23/2017","Vehicle","4000 Block Evan Acres Road, Madison, WI 53705",""
"Vehicle Fire Outside City-County Building","02/21/2017","Vehicle","200 Block Martin Luther King, Jr. Blvd, Madison, WI 53703",""
"Firefighters Investigate HVAC Issue At Olin Ave. Business","02/21/2017","Smoke Scare","200 Block E. Olin Ave, Madison, WI 53703",""
"East Side Apartment Building Temporarily Evacuated Due To Carbon Monoxide","02/21/2017","Carbon Monoxide","2400 Block E. Washington Ave, Madison, WI 53705",""
"Firefighters Called To Smoke-Filled Downtown Apartment","02/21/2017","Cooking","400 Block W. Wilson Street, Madison, WI 53703",""
"Fire Consumes Vehicle On Walnut Street","02/20/2017","Vehicle","500 Block Walnut Street, Madison, WI 53703",""
"Structure Fire On Sherman Terrace","02/19/2017","Structure","Sherman Terrace, Madison, WI 53703","Updated: 02/20/2017"
"Burned Steaks To Blame For Downtown Smoke Scare","02/18/2017","Cooking","300 Block W. Johnson St, Madison, WI",""
"Unattended Pan Of Oil Leads To Small Kitchen Fire","02/16/2017","Cooking","Flower Lane, Madison, WI 53717",""
"Crews Extricate Driver From Tipped Vehicle","02/14/2017","Vehicle","Winnebago St. & First St, Madison, WI 53703",""
"Small Fire In Back Of Pickup Truck Traced To Discarded Cigarette","02/14/2017","Assist Citizen","E. Dayton Street & N. Few Street, Madison, WI 53703",""
"Two-Vehicle Crash On Femrite Drive Injures One","02/11/2017","Vehicle","Femrite Drive & I90 Eastbound, Madison, WI",""
"Vehicle Leaking Gasoline Towed From Downtown Ramp","02/10/2017","Vehicle","300 Block W. Mifflin Street, Madison, WI 53703",""
"Toxic Chemical Combo Sends One To Hospital","02/10/2017","Hazmat","300 Block Samuel Drive, Madison, WI 53703",""
"One Transported To Hospital With Thumb Lodged In Bathroom Sink","02/10/2017","Assist Citizen","Sherman Terrace, Madison, WI 53703",""
"Overloaded Wash Machine Causes Water Spill","02/09/2017","Water Leak","Gerry Court, Madison, WI 53703",""
"Man Suffers Serious Injuries After Falling Into 6-Foot Pit","02/08/2017","EMS","2700 Block S. Stoughton Road, Madison, WI",""
"Man Uninjured After Car Ahead Of Him Knocks Down Light Pole","02/08/2017","Vehicle","Verona Road / Atticus Way, Madison, WI",""
"Black Lab Accidentally Turns On Stovetop Burners; Dog And Owner OK","02/07/2017","Structure","Buckeye Road area, Madison, WI 53705",""
"Garbage Truck Contents Catch On Fire","02/07/2017","Trash/Rubbish","N. Biltmore Ln. / Eastpark Blvd, Madison, WI",""
"Plow Truck Sustains Damage Following Small Fire","02/07/2017","Vehicle","1000 Block Short Street, Madison, WI",""
"Food Left On Active Stovetop Prompts Fire Department Response","02/07/2017","Cooking","200 Block S. Park Street, Madison, WI",""
"Crash Involving Electrical Box Live, Driver Ordered to Stay in Vehicle","02/03/2017","Vehicle","N. Butler St and E. Washington Ave, Madison, WI",""
"Smoke Odor At Grocery Store Traced To Light Ballast","02/02/2017","Electrical","600 Block S. Whitney Way, Madison, WI",""
"Suspicious Vehicle Fire Under Investigation","02/02/2017","Vehicle","2400 Block S. Park Street, Madison, WI",""
"Gallons of Gasoline Spill At Northside Gas Station","02/01/2017","Fuel Spill","2300 Block Commercial Ave, Madison, WI 53703",""
"Paramedics Help Man Get Back On His Feet, Then Shovel His Driveway","01/31/2017","Assist Citizen","Cameo Lane, Madison, WI 53703",""
"Three Transported From Stoughton Road Crash","01/30/2017","Vehicle","S. Stoughton Road / Pflaum Road, Madison, WI",""
"Box Of Tissues Catches Fire In East Side Apartment","01/30/2017","Trash/Rubbish","30 Block N. Sherman Terrace, Madison, WI",""
"Discarded Ashes Ignite Trash Can Fire","01/30/2017","Trash/Rubbish","4100 Block Hillcrest Drive, Madison, WI 53703",""
"Burning Smell Traced To Dishwasher In West Side Home","01/29/2017","Smoke Scare","1100 Block Winding Way, Madison, WI",""
"Oil Heating on Stove Causes $500.00 Damage","01/25/2017","Alarm Investigation","5000 Block Siggelkow Rd, Madison, WI 53718",""
"Arcing Wires Cause Small Fire In Tree","01/25/2017","Power lines down","700 Block Parman Street, Madison, WI 53711",""
"Alert Neighbor Calls Fire Department For Smoke Coming From Apartment","01/24/2017","Cooking","1200 Block E. Gorham Street, Madison, WI 53715",""
"Car Left Running Inside Garage Triggers Carbon Monoxide Alarm","01/24/2017","Carbon Monoxide","1200 Block S. Whitney Way, Madison, WI 53703",""
"Chimney Bomb Puts A Stop To Fire At West Side Home","01/23/2017","Chimney","6400 Block Antietam Ln, Madison, WI",""
"Faulty Electrical Panel Sends Firefighters To Downtown Hotel","01/23/2017","Smoke Scare","600 Block Langdon Street, Madison, WI",""
"Fire At Downtown Construction Site Shuts Down 400 Block of W. Mifflin","01/23/2017","Structure","400 Block W. Mifflin St, Madison, WI 53703",""
"Broken Valve Causes Gas Leak at East Side Home","01/21/2017","Gas Leak","2300 Block Myrtle Street, Madison, WI 53703",""
"Four Displaced By Garage Fire On Tottenham Road","01/20/2017","Structure","6800 Block Tottenham Rd, Madison, WI","Updated: 01/24/2017"
"Burning Wood Smell Traced To Flourescent Light Bulb","01/20/2017","Odor Investigation","1800 Block Windam Way, Madison, WI",""
"MFD On Scene Of Rollover Crash - John Nolen Drive","01/20/2017","Vehicle","John Nolen Drive / East Olin Ave, Madison, WI",""
"Occupants Safely Escape Gas Leak In West Side Home","01/19/2017","Gas Leak","2500 Block Chamberlain Ave, Madison, WI",""
"Vehicle Fire On East Broadway","01/18/2017","Vehicle","East Broadway, Madison, WI",""
"Water Seeps Into Outlet, Kicking Up Smoke At East-Side Motel","01/17/2017","Electrical","3100 Block E. Washington Ave, Madison, WI",""
"Burned Salmon Sends Firefighter To The Hub","01/16/2017","Cooking","400 Block N. Frances St, Madison, WI",""
"Building Evacuated For Carbon Monoxide Leak; Everybody Okay","01/16/2017","Carbon Monoxide","400 Block W. Main Street, Madison, WI 53703",""
"No Known Injuries In East Bluff Car. Vs. Condo Crash","01/16/2017","Vehicle","300 Block East Bluff, Madison, WI 53704",""
"Small Fire Contained, Extinguished Quickly At Loft Apartments","01/14/2017","Trash/Rubbish","100 Block N. Frances Street, Madison, WI",""
"Three Injured In East Washington Crash","01/14/2017","Vehicle","E. Washington Ave. / Pawling St, Madison, WI",""
"Cause of North Side Fire Under Investigation","01/13/2017","Structure","2300 Block Superior Street, Madison, WI","Updated: 01/24/2017"
"Fire In Parking Garage At Normandy Apartments","01/13/2017","Trash/Rubbish","4700 Block Sheboygan Ave, Madison, WI 53703","Updated: 01/19/2017"
"Minor Injuries and Damage Following Cooking Fire","01/11/2017","Cooking","200 Block N. Frances St, Madison, WI",""
"Smoke Scare On North Side; Fire Averted With Early 911 Call","01/10/2017","Odor Investigation","1500 Block Trailsway, Madison, WI",""
"Three Displaced Following East-Side Fire; No Injuries","01/09/2017","Structure","3200 Block Forest Ridge, Madison, WI 53703",""
"Small Fire In Victoria's Secret Changing Room Causes Minor Damage","01/08/2017","Electrical","East Towne Mall, Madison, WI 53703",""
"Engine 4 Responds To Fuel Spill At Area Gas Station","01/08/2017","Outdoor","2500 Block Fish Hatchery Road, Madison, WI",""
"Nobody Injured In Vehicle Fire On Westbound I-90","01/07/2017","Vehicle","Mile Marker 143.8, I-90 Westbound, Madison, WI 53715",""
"Mattress Fire Causes Minor Damage At The Meadows Apartments","01/06/2017","Structure","200 Block N. Thompson Drive, Madison, WI",""
"Elevated Carbon Monoxide Levels Send Firefighters To West Side Apartment","01/05/2017","Carbon Monoxide","200 Block N. Eau Claire Ave, Madison, WI",""
"Two People Transported After Four Vehicle Crash","01/04/2017","Vehicle","S. Gammon Road, Watts Road, Madison, WI",""
"Two People Transported After Four Vehicle Crash","01/04/2017","Vehicle","S. Gammon Road, Watts Road, Madison, WI",""
"West Side Vehicle Fire Under Investigation","01/03/2017","Vehicle","400 Block S. Gammon Rd, Madison, WI",""
"Three Injured In Old Sauk Road Crash","01/03/2017","Vehicle","6200 Block Old Sauk Road, Madison, WI",""
"One Transported From Six-Vehicle Crash On Stoughton Road","01/02/2017","Vehicle","S. Stoughton Rd. / Buckeye Rd, Madison, WI",""
"Woman Struck By Vehicle Suffers Minor Injuries","01/02/2017","Vehicle","E. Washington Ave. & Eagan Rd, Madison, WI",""
