Agency,Organization,Account Type,Character Code,Object,2015,2016,2017,2018
50 -  LIBRARY,50300753 - LIB COL RES & ACCESS ASHMAN,Expense,53 - SUPPLIES,53225 - LIBRARY MATERIALS,257.01,120.74,0,79.5
17 -  INFORMATION TECHNOLOGY,17200 - IT TECHNICAL SERVICES,Expense,53 - SUPPLIES,53150 - POSTAGE,257.62,337.43,360.44,534.41
40 -  ENGINEERING,40110 - ENG ADMIN DIVISION,Expense,51 - SALARIES,51320 - OVERTIME WAGES HOURLY,257.85,2.18,0,2.18
62 -  COMMUNITY DEVELOPMENT,62332 - CAP IMPRVMTS FOR CMTY ORGS GF,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS,258.96,10.21,105.59,98.28
31 -  POLICE,31166 - TRAINING CENTER,Expense,51 - SALARIES,51120 - PREMIUM PAY,259.32,0,0,0
45 -  TRAFFIC ENGINEERING,45665 - TE SERVICES STREET OCCUPY PERM,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT,259.89,0,0,514.24
44 -  STREETS,44220 - ST RECYCLING COLLECTION,Expense,54 - PURCHASED SERVICES,54810 - OTHER SERVICES AND EXPENSES,260,30,0,0
14 -  COMMON COUNCIL,14100 - COMMON COUNCIL,Expense,54 - PURCHASED SERVICES,54520 - CONFERENCES AND TRAINING,260,450,0,1979.79
62 -  COMMUNITY DEVELOPMENT,62550 - CD DIVISION 26 PRGM ADMIN,Expense,54 - PURCHASED SERVICES,54650 - ADVERTISING SERVICES,260,9737.44,591.8,579.6
45 -  TRAFFIC ENGINEERING,45668 - TE SERVICES MUFN MAINTENANCE,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS,260.05,1704.26,810.23,1338.68
12 -  CIVIL RIGHTS,12100 - CIVIL RIGHTS,Expense,51 - SALARIES,51320 - OVERTIME WAGES HOURLY,261.78,10.06,0,0
51 -  PARKS,51210 - PARK MTC FOREST ADMIN,Expense,53 - SUPPLIES,53145 - SOFTWARE LICENSES & SUPPLIES,262.04,526.44,9260.92,505
50 -  LIBRARY,50400758 - LIB FACILITIES SEQUOYA,Expense,53 - SUPPLIES,53330 - PLUMBING SUPPLIES,263.34,78.78,57.68,244.04
31 -  POLICE,31174 - SAFETY ED,Expense,54 - PURCHASED SERVICES,54520 - CONFERENCES AND TRAINING,263.36,0,921.65,0
50 -  LIBRARY,50400759 - LIB FACILITIES SOUTH MADISON,Expense,53 - SUPPLIES,53210 - WORK SUPPLIES,263.74,780.01,1082.22,7.17
31 -  POLICE,31283 - GENERAL ADMINISTRATION,Expense,53 - SUPPLIES,53145 - SOFTWARE LICENSES & SUPPLIES,263.9,0,0,0
44 -  STREETS,44101 - ST SOLID WASTE ADMIN,Expense,53 - SUPPLIES,53310 - BUILDING,263.9,517.5,0,0
31 -  POLICE,31135 - SOUTH,Expense,54 - PURCHASED SERVICES,54121 - CELLULAR TELEPHONE,264,0,0,0
16 -  HUMAN RESOURCES,16200 - HR EMPLOYEE & LABOR RELATIONS,Expense,54 - PURCHASED SERVICES,54230 - FACILITY RENTAL,265,275,0,266.13
45 -  TRAFFIC ENGINEERING,45804 - TE PED BIKE INSTALL OR REMOVE,Expense,51 - SALARIES,51210 - HOURLY WAGES,265.2,0,0,0
50 -  LIBRARY,50400756 - LIB FACILITIES MONROE,Expense,54 - PURCHASED SERVICES,54114 - SEWER,265.45,225.09,230.16,185.84
63 -  ECONOMIC DEVELOPMENT,63331 - EDD RE LEASES LICENSES,Expense,54 - PURCHASED SERVICES,54115 - STORMWATER,266.1,216.06,209.43,270.86
50 -  LIBRARY,50400754 - LIB FACILITIES LAKEVIEW,Expense,53 - SUPPLIES,53210 - WORK SUPPLIES,266.45,1.7,249.62,395.5
44 -  STREETS,44201 - ST RECYCLING ADMIN,Expense,53 - SUPPLIES,53235 - SAFETY SUPPLIES,266.6,6.92,295.87,145.08
30 -  FIRE,30110720 - FIRE GEN FIELD OP ADMIN,Expense,53 - SUPPLIES,53145 - SOFTWARE LICENSES & SUPPLIES,266.78,138.67,312.4,99.99
45 -  TRAFFIC ENGINEERING,45500 - TE SIGNALS,Expense,54 - PURCHASED SERVICES,54110 - NATURAL GAS,267.35,0,0,0
63 -  ECONOMIC DEVELOPMENT,63221 - EDD OBR ECON DEV BUSINESS ASST,Expense,53 - SUPPLIES,53150 - POSTAGE,267.44,719.83,1256.46,984.91
63 -  ECONOMIC DEVELOPMENT,63331 - EDD RE LEASES LICENSES,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM,267.96,808.39,0,0
14 -  COMMON COUNCIL,14100 - COMMON COUNCIL,Expense,53 - SUPPLIES,53165 - BOOKS AND SUBSCRIPTIONS,268.08,131.88,235.07,135.89
45 -  TRAFFIC ENGINEERING,45405 - TE COMM MAINTENANCE,Expense,54 - PURCHASED SERVICES,54350 - LEASE RENTAL OF EQUIPMENT,268.08,176,0,0
45 -  TRAFFIC ENGINEERING,45104 - TE SIGNING INSTALL OR REMOVE,Expense,52 - BENEFITS,52413 - WAGE INSURANCE BENEFIT,268.16,664.52,435.73,599.38
51 -  PARKS,51110 - PARK COM REC ADMIN,Expense,52 - BENEFITS,52413 - WAGE INSURANCE BENEFIT,269.93,414.29,640.13,948.66
31 -  POLICE,31278 - PERSONNEL,Expense,53 - SUPPLIES,53245 - UNIFORM CLOTHING SUPPLIES,270,0,0,0
45 -  TRAFFIC ENGINEERING,45204 - TE STLIGHT INSTALL OR REMOVE,Expense,52 - BENEFITS,52413 - WAGE INSURANCE BENEFIT,270.34,11.65,330.64,388.69
15 -  FINANCE,15400 - FIN ADMIN SUPPORT,Expense,53 - SUPPLIES,53210 - WORK SUPPLIES,270.4,0,0,212.87
40 -  ENGINEERING,40116 - ENG ADMIN INSPECTION SURVEY,Expense,53 - SUPPLIES,53413 - EQUIPMENT SUPPLIES,270.95,646.58,404.19,714.61
21 -  TREASURER,21100 - TREASURER,Expense,57 - INTER DEPART CHARGES,57176 - ID CHARGE FROM WORKERS COMP,271,255,255,285
31 -  POLICE,31283 - GENERAL ADMINISTRATION,Expense,54 - PURCHASED SERVICES,54121 - CELLULAR TELEPHONE,271.2,2.6,0,0
40 -  ENGINEERING,40117 - ENG ADMIN EXCAVATION PERMIT,Expense,51 - SALARIES,51210 - HOURLY WAGES,272.29,0,0,0
62 -  COMMUNITY DEVELOPMENT,62550 - CD DIVISION 26 PRGM ADMIN,Expense,51 - SALARIES,51140 - COMPENSATED ABSENCE,272.74,60.14,61.96,64.4
63 -  ECONOMIC DEVELOPMENT,63221 - EDD OBR ECON DEV BUSINESS ASST,Expense,53 - SUPPLIES,53110 - OFFICE SUPPLIES,272.81,1038.85,1833.53,553.79
31 -  POLICE,31299653 - NORTH PD SUPPORT,Expense,54 - PURCHASED SERVICES,54112 - ELECTRICITY,272.98,0,0,0
15 -  FINANCE,15100 - FIN ACCOUNTING,Expense,53 - SUPPLIES,53165 - BOOKS AND SUBSCRIPTIONS,273,309.95,416.2,0
44 -  STREETS,44111 - ST LARGE ITEMS,Expense,54 - PURCHASED SERVICES,54520 - CONFERENCES AND TRAINING,273.13,0.95,30.04,4.93
44 -  STREETS,44221 - ST LEAF COLLECTION,Expense,54 - PURCHASED SERVICES,54520 - CONFERENCES AND TRAINING,273.13,0.95,30.04,4.93
44 -  STREETS,44222 - ST DROP OFF SITES,Expense,54 - PURCHASED SERVICES,54520 - CONFERENCES AND TRAINING,273.13,0.95,30.04,4.93
44 -  STREETS,44116 - ST TRANSFER STATION OTHER,Expense,54 - PURCHASED SERVICES,54520 - CONFERENCES AND TRAINING,273.13,0.95,338.54,4.93
44 -  STREETS,44224 - ST BRUSH PROCESSING,Expense,54 - PURCHASED SERVICES,54330 - EQUIP IMPROV REPAIR MAINT,273.26,232.91,231.65,472.17
44 -  STREETS,44551 - ST STONE,Expense,54 - PURCHASED SERVICES,54330 - EQUIP IMPROV REPAIR MAINT,273.26,232.91,231.65,472.17
45 -  TRAFFIC ENGINEERING,45404 - TE COMM INSTALL OR REMOVE,Expense,52 - BENEFITS,52413 - WAGE INSURANCE BENEFIT,273.55,1019.34,1312.58,1501.47
51 -  PARKS,51241 - PARK MTC EAST PARKS,Expense,54 - PURCHASED SERVICES,54121 - CELLULAR TELEPHONE,273.58,240,400,400
40 -  ENGINEERING,40113 - ENG ADMIN FLEET MAINTENANCE,Expense,54 - PURCHASED SERVICES,54810 - OTHER SERVICES AND EXPENSES,273.86,640.67,575.44,508.21
40 -  ENGINEERING,40110 - ENG ADMIN DIVISION,Expense,53 - SUPPLIES,53140 - HARDWARE SUPPLIES,274.32,612.32,103.01,563.49
40 -  ENGINEERING,40472 - ENG FAC MAINT CUSTODIAL SVCS,Expense,54 - PURCHASED SERVICES,54330 - EQUIP IMPROV REPAIR MAINT,274.48,50.5,809.2,0
51 -  PARKS,51160 - PARK COM REC REC SERVICES,Expense,52 - BENEFITS,52413 - WAGE INSURANCE BENEFIT,274.63,463.24,457.57,498.08
51 -  PARKS,51247 - PARK MTC PARK RANGERS,Expense,53 - SUPPLIES,53145 - SOFTWARE LICENSES & SUPPLIES,275,0,0,0
31 -  POLICE,31166 - TRAINING CENTER,Expense,54 - PURCHASED SERVICES,54535 - MEMBERSHIPS,275,100,0,0
31 -  POLICE,31130 - NORTH,Expense,54 - PURCHASED SERVICES,54210 - BUILDING IMPROV REPAIR MAINT,275.06,0,0,68.5
45 -  TRAFFIC ENGINEERING,45600 - TE SERVICES,Expense,51 - SALARIES,51120 - PREMIUM PAY,275.43,345.23,371.18,345.22
40 -  ENGINEERING,40139 - ENG MEDIAN MAINTENANCE,Expense,51 - SALARIES,51320 - OVERTIME WAGES HOURLY,275.89,152.61,2.7,461.37
45 -  TRAFFIC ENGINEERING,45401 - TE COMM ADMIN,Expense,52 - BENEFITS,52413 - WAGE INSURANCE BENEFIT,275.97,426.92,119.83,141.68
44 -  STREETS,44551 - ST STONE,Expense,53 - SUPPLIES,53235 - SAFETY SUPPLIES,276.37,6.92,132.55,145.08
51 -  PARKS,51245 - PARK MTC CONSTRUCTION,Expense,51 - SALARIES,51120 - PREMIUM PAY,277.35,619.02,181.04,345.06
62 -  COMMUNITY DEVELOPMENT,62550 - CD DIVISION 26 PRGM ADMIN,Expense,52 - BENEFITS,52413 - WAGE INSURANCE BENEFIT,279.42,193.86,8.96,21.47
63 -  ECONOMIC DEVELOPMENT,63220 - EDD OBR VENDING,Expense,51 - SALARIES,51120 - PREMIUM PAY,279.46,30.89,71.42,55.11
31 -  POLICE,31145 - INVESTIGATIVE SUPPORT GENERAL,Expense,54 - PURCHASED SERVICES,54120 - TELEPHONE,279.75,0,0,0
20 -  MUNICIPAL COURT,20100 - MUNICIPAL COURT,Expense,57 - INTER DEPART CHARGES,57176 - ID CHARGE FROM WORKERS COMP,280,266,243,257
50 -  LIBRARY,50300756 - LIB COL RES & ACCESS MONROE,Expense,53 - SUPPLIES,53225 - LIBRARY MATERIALS,281.31,69.74,16.35,0
51 -  PARKS,51247 - PARK MTC PARK RANGERS,Expense,54 - PURCHASED SERVICES,54810 - OTHER SERVICES AND EXPENSES,282.11,0,0,0
51 -  PARKS,51190 - PARK COM REC WPCRC GENERAL,Expense,54 - PURCHASED SERVICES,54121 - CELLULAR TELEPHONE,282.34,300.14,195.3,257.79
50 -  LIBRARY,50100755 - LIB PUBLIC SERVICE MEADOWRIDGE,Expense,54 - PURCHASED SERVICES,54130 - SYSTEMS COMMUNICATION INTERNET,282.41,66.97,0,0
45 -  TRAFFIC ENGINEERING,45201 - TE STLIGHT ADMIN,Expense,54 - PURCHASED SERVICES,54113 - WATER,285.06,432.97,612.07,455.13
44 -  STREETS,44224 - ST BRUSH PROCESSING,Expense,51 - SALARIES,51130 - WORKERS COMPENSATION WAGES,285.31,0,0,0
51 -  PARKS,51190 - PARK COM REC WPCRC GENERAL,Expense,53 - SUPPLIES,53245 - UNIFORM CLOTHING SUPPLIES,285.31,208.44,421,206
44 -  STREETS,44601 - ST ROADSIDE CLEANUP ADMIN,Expense,51 - SALARIES,51120 - PREMIUM PAY,285.81,133.67,33.28,23.51
40 -  ENGINEERING,40113 - ENG ADMIN FLEET MAINTENANCE,Expense,53 - SUPPLIES,53413 - EQUIPMENT SUPPLIES,286.2,242.5,302.66,714.26
44 -  STREETS,44334 - ST SNOW MISCELLANEOUS,Expense,52 - BENEFITS,52413 - WAGE INSURANCE BENEFIT,286.98,344.87,15.52,0
31 -  POLICE,31283 - GENERAL ADMINISTRATION,Expense,54 - PURCHASED SERVICES,54810 - OTHER SERVICES AND EXPENSES,287.75,631.75,1034.5,3165.2
30 -  FIRE,30111 - FIRE LAKE RESCUE,Expense,53 - SUPPLIES,53210 - WORK SUPPLIES,288.3,1333.42,272.99,450.82
62 -  COMMUNITY DEVELOPMENT,62471 - SENIOR CENTER,Expense,51 - SALARIES,51320 - OVERTIME WAGES HOURLY,288.4,0,0,0
50 -  LIBRARY,50400756 - LIB FACILITIES MONROE,Expense,53 - SUPPLIES,53310 - BUILDING,288.71,97.5,0,0
51 -  PARKS,51220 - PARK MTC FORESTRY GENERAL,Expense,53 - SUPPLIES,53315 - BUILDING SUPPLIES,289.47,137.74,830.73,0
40 -  ENGINEERING,40112 - ENG ADMIN SERVICE BUILDING MTC,Expense,54 - PURCHASED SERVICES,54115 - STORMWATER,289.48,304.59,318.7,324.99
65 -  PLANNING,65201 - PL COMP PLAN AND DEVELOP ADMIN,Expense,53 - SUPPLIES,53130 - FURNITURE,289.97,987.5,933.33,0
14 -  COMMON COUNCIL,14100603 - COMMON COUNCIL DIST 3,Expense,53 - SUPPLIES,53110 - OFFICE SUPPLIES,290.21,17.53,770.14,0
44 -  STREETS,44111 - ST LARGE ITEMS,Expense,53 - SUPPLIES,53140 - HARDWARE SUPPLIES,290.29,272.27,513.68,265.04
30 -  FIRE,30110723 - FIRE GEN FIELD OP EMS TRAINING,Expense,54 - PURCHASED SERVICES,54120 - TELEPHONE,291.9,292.47,311.07,279.09
30 -  FIRE,30270 - FIRE INVESTIGATION,Expense,54 - PURCHASED SERVICES,54120 - TELEPHONE,291.9,545.31,460.32,229.95
44 -  STREETS,44331 - ST SNOW REMOVAL HAULING,Expense,53 - SUPPLIES,53245 - UNIFORM CLOTHING SUPPLIES,292.22,160.68,142.45,200.04
44 -  STREETS,44601 - ST ROADSIDE CLEANUP ADMIN,Expense,53 - SUPPLIES,53245 - UNIFORM CLOTHING SUPPLIES,292.22,160.68,142.45,204.84
44 -  STREETS,44501 - ST STREET REPAIR MAINT ADMIN,Expense,53 - SUPPLIES,53245 - UNIFORM CLOTHING SUPPLIES,292.22,160.68,142.45,209.64
45 -  TRAFFIC ENGINEERING,45405 - TE COMM MAINTENANCE,Expense,53 - SUPPLIES,53235 - SAFETY SUPPLIES,292.39,129.6,0,0
63 -  ECONOMIC DEVELOPMENT,63331 - EDD RE LEASES LICENSES,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS,292.44,922.42,0,0
65 -  PLANNING,65114 - PL SPECIAL PROJECTS,Expense,53 - SUPPLIES,53120 - COPY PRINTING SUPPLIES,292.75,0,0,0
31 -  POLICE,31165 - TRAINING SERVICES GENERAL,Expense,54 - PURCHASED SERVICES,54330 - EQUIP IMPROV REPAIR MAINT,293,0,470.46,0
45 -  TRAFFIC ENGINEERING,45300 - TE PAVE MARK,Expense,54 - PURCHASED SERVICES,54210 - BUILDING IMPROV REPAIR MAINT,293.42,205.67,0,479.06
50 -  LIBRARY,50400753 - LIB FACILITIES ASHMAN,Expense,53 - SUPPLIES,53320 - ELECTRICAL SUPPLIES,293.56,208.86,1104.99,863.75
50 -  LIBRARY,50300751 - LIB COL RES & ACCESS CENTRAL,Expense,53 - SUPPLIES,53110 - OFFICE SUPPLIES,293.73,116.37,80563.53,56101.93
30 -  FIRE,30110 - FIRE GEN FIELD OP,Expense,53 - SUPPLIES,53110 - OFFICE SUPPLIES,294.66,598.96,215.59,274
44 -  STREETS,44220521 - ST RECYCLING COLLECTION BAD,Expense,52 - BENEFITS,52410 - HEALTH INSURANCE BENEFIT,294.78,0,0,0
51 -  PARKS,51242 - PARK MTC WEST PARKS,Expense,54 - PURCHASED SERVICES,54210 - BUILDING IMPROV REPAIR MAINT,295,0,0,0
30 -  FIRE,30110720 - FIRE GEN FIELD OP ADMIN,Expense,53 - SUPPLIES,53245 - UNIFORM CLOTHING SUPPLIES,295,0,0,393.59
62 -  COMMUNITY DEVELOPMENT,62330 - STRONG HEALTHY NBRHOODS GEN GF,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM,295.4,42.83,0,1500.41
31 -  POLICE,31294 - PROPERTY,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT,296.03,0,0,0
17 -  INFORMATION TECHNOLOGY,17200 - IT TECHNICAL SERVICES,Expense,51 - SALARIES,51130 - WORKERS COMPENSATION WAGES,296.24,190.65,322.89,0
40 -  ENGINEERING,40124 - ENG STREETS SURVEY,Expense,52 - BENEFITS,52510 - WI RETIREMENT SYSTEM,296.27,229.78,416.21,295.31
44 -  STREETS,44221 - ST LEAF COLLECTION,Expense,51 - SALARIES,51120 - PREMIUM PAY,297.54,322.46,297.86,303.4
45 -  TRAFFIC ENGINEERING,45100 - TE SIGNING,Expense,52 - BENEFITS,52413 - WAGE INSURANCE BENEFIT,297.95,94.75,46.56,190.64
15 -  FINANCE,15111 - FIN ACCOUNTING PURCHASING,Expense,54 - PURCHASED SERVICES,54520 - CONFERENCES AND TRAINING,299.54,1788.96,1598.47,2085.5
30 -  FIRE,30132 - FIRE APPLICANT HIRE AND TRAINI,Expense,52 - BENEFITS,52413 - WAGE INSURANCE BENEFIT,299.81,1203.19,2100.46,3250.95
63 -  ECONOMIC DEVELOPMENT,63221 - EDD OBR ECON DEV BUSINESS ASST,Expense,53 - SUPPLIES,53165 - BOOKS AND SUBSCRIPTIONS,300,0,0,0
30 -  FIRE,30252 - FIRE INSPECTION ELEVATOR,Expense,54 - PURCHASED SERVICES,54535 - MEMBERSHIPS,300,0,0,55
44 -  STREETS,44111 - ST LARGE ITEMS,Expense,54 - PURCHASED SERVICES,54880 - PERMITS AND LICENSES,300,0,300,337.5
31 -  POLICE,31170 - ACADEMY,Expense,54 - PURCHASED SERVICES,54810 - OTHER SERVICES AND EXPENSES,300,637,0,0
65 -  PLANNING,65201 - PL COMP PLAN AND DEVELOP ADMIN,Expense,54 - PURCHASED SERVICES,54650 - ADVERTISING SERVICES,300,1875,356.8,2395.96
17 -  INFORMATION TECHNOLOGY,17200 - IT TECHNICAL SERVICES,Expense,54 - PURCHASED SERVICES,54510 - RECRUITMENT,300,2222.5,838.3,988.45
44 -  STREETS,44441 - ST HAND SWEEPING,Expense,52 - BENEFITS,52413 - WAGE INSURANCE BENEFIT,300.76,283.47,231.71,550.38
50 -  LIBRARY,50223757 - LIB COMM ENGAGE ADULT PINNEY,Expense,53 - SUPPLIES,53225 - LIBRARY MATERIALS,301.01,0,0,0
51 -  PARKS,51246 - PARK MTC CONSERVATION,Expense,54 - PURCHASED SERVICES,54121 - CELLULAR TELEPHONE,301.24,402,654,856.37
44 -  STREETS,44201 - ST RECYCLING ADMIN,Expense,54 - PURCHASED SERVICES,54120 - TELEPHONE,302.42,660.16,514.9,510.54
44 -  STREETS,44662 - ST GRAFFITI REMOVALS,Expense,53 - SUPPLIES,53245 - UNIFORM CLOTHING SUPPLIES,302.88,159.98,140.93,198.42
44 -  STREETS,44660 - ST WEED CONTROL,Expense,53 - SUPPLIES,53245 - UNIFORM CLOTHING SUPPLIES,304.02,160.68,142.45,200.04
50 -  LIBRARY,50100754 - LIB PUBLIC SERVICE LAKEVIEW,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT,305.82,1414.57,0,4.49
30 -  FIRE,30110701 - FIRE GEN FIELD OP STATION 1,Expense,53 - SUPPLIES,53250 - FOOD AND BEVERAGE,306.03,1520.22,1351.38,1575.97
11 -  ATTORNEY,11200 - ATTY LEGISLATIVE SERVICES,Expense,54 - PURCHASED SERVICES,54120 - TELEPHONE,306.49,306.85,399.99,286.83
45 -  TRAFFIC ENGINEERING,45301 - TE PAVE MARK ADMIN,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT,306.66,1023.57,3162.92,1751.94
30 -  FIRE,30110 - FIRE GEN FIELD OP,Expense,54 - PURCHASED SERVICES,54113 - WATER,307.02,362.6,439.42,197.19
44 -  STREETS,44334 - ST SNOW MISCELLANEOUS,Expense,51 - SALARIES,51210 - HOURLY WAGES,308.4,212.64,0,112
44 -  STREETS,44111 - ST LARGE ITEMS,Expense,51 - SALARIES,51320 - OVERTIME WAGES HOURLY,308.4,318.96,1238.05,845.7
30 -  FIRE,30110713 - FIRE GEN FIELD OP STATION 13,Expense,53 - SUPPLIES,53413 - EQUIPMENT SUPPLIES,308.51,0,0,0
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,52 - BENEFITS,52413 - WAGE INSURANCE BENEFIT,308.88,441.35,700.81,915.3
40 -  ENGINEERING,40130 - ENG SIDEWALKS ADMIN,Expense,51 - SALARIES,51110 - PERMANENT WAGES,308.92,298.95,0,186.6
62 -  COMMUNITY DEVELOPMENT,62471 - SENIOR CENTER,Expense,54 - PURCHASED SERVICES,54880 - PERMITS AND LICENSES,309,200,313,338
31 -  POLICE,31140 - WEST,Expense,54 - PURCHASED SERVICES,54210 - BUILDING IMPROV REPAIR MAINT,309.59,1160,779.1,0
50 -  LIBRARY,50222 - LIB COMM ENGAGE TEEN,Expense,53 - SUPPLIES,53140 - HARDWARE SUPPLIES,309.67,0,0,0
50 -  LIBRARY,50400751 - LIB FACILITIES CENTRAL,Expense,51 - SALARIES,51320 - OVERTIME WAGES HOURLY,309.95,0,0,0
62 -  COMMUNITY DEVELOPMENT,62330 - STRONG HEALTHY NBRHOODS GEN GF,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS,310.77,48.1,0,1714.6
45 -  TRAFFIC ENGINEERING,45881 - TE PED BIKE SAFETY EDUCATION,Expense,52 - BENEFITS,52413 - WAGE INSURANCE BENEFIT,311.29,16.54,0,0
45 -  TRAFFIC ENGINEERING,45200 - TE STLIGHT,Expense,53 - SUPPLIES,53110 - OFFICE SUPPLIES,312.27,320.21,608.92,674.3
45 -  TRAFFIC ENGINEERING,45500 - TE SIGNALS,Expense,53 - SUPPLIES,53110 - OFFICE SUPPLIES,313.51,311.9,667.35,936.7
30 -  FIRE,30120 - FIRE MEDICAL PROGRAM GENERAL,Expense,53 - SUPPLIES,53210 - WORK SUPPLIES,313.89,2500.08,4428.77,11593.91
44 -  STREETS,44220 - ST RECYCLING COLLECTION,Expense,54 - PURCHASED SERVICES,54220 - PEST CONTROL,313.9,321.2,328.5,131.4
50 -  LIBRARY,50400752 - LIB FACILITIES HAWTHORNE,Expense,53 - SUPPLIES,53330 - PLUMBING SUPPLIES,315,0,1947.57,0
65 -  PLANNING,65222 - PL COMP NEIGH SPEC AREA PLAN,Expense,54 - PURCHASED SERVICES,54535 - MEMBERSHIPS,315,325,485,499
45 -  TRAFFIC ENGINEERING,45205 - TE STLIGHT MAINTENANCE,Expense,53 - SUPPLIES,53110 - OFFICE SUPPLIES,315.68,167.41,132.03,0
44 -  STREETS,44224 - ST BRUSH PROCESSING,Expense,53 - SUPPLIES,53245 - UNIFORM CLOTHING SUPPLIES,315.8,160.68,142.45,200.04
51 -  PARKS,51160 - PARK COM REC REC SERVICES,Expense,54 - PURCHASED SERVICES,54535 - MEMBERSHIPS,315.82,0,0,0
45 -  TRAFFIC ENGINEERING,45300 - TE PAVE MARK,Expense,52 - BENEFITS,52413 - WAGE INSURANCE BENEFIT,315.89,0,0,0
31 -  POLICE,31135 - SOUTH,Expense,54 - PURCHASED SERVICES,54210 - BUILDING IMPROV REPAIR MAINT,317.09,0,2600,292.5
60 -  BUILDING INSPECTION,60200 - BI HEALTH AND WLFARE,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT,317.36,557.93,507.7,838.08
44 -  STREETS,44220 - ST RECYCLING COLLECTION,Expense,53 - SUPPLIES,53315 - BUILDING SUPPLIES,317.81,178.5,1481.26,1670.76
31 -  POLICE,31299654 - SOUTH PD SUPPORT,Expense,54 - PURCHASED SERVICES,54113 - WATER,318.43,373.67,472.44,416.88
50 -  LIBRARY,50400754 - LIB FACILITIES LAKEVIEW,Expense,53 - SUPPLIES,53330 - PLUMBING SUPPLIES,319,114.24,1986.8,369.73
45 -  TRAFFIC ENGINEERING,45205 - TE STLIGHT MAINTENANCE,Expense,51 - SALARIES,51120 - PREMIUM PAY,320.11,252.42,762.06,562.12
62 -  COMMUNITY DEVELOPMENT,62334 - NBRHD SPPT SVCS PLANNING CNCLS,Expense,52 - BENEFITS,52413 - WAGE INSURANCE BENEFIT,320.22,524.21,3.27,52.22
44 -  STREETS,44110 - ST REFUSE COLLECTION,Expense,52 - BENEFITS,52714 - LICENSES AND CERTIFICATIONS,320.96,330,416.51,284.34
62 -  COMMUNITY DEVELOPMENT,62112 - HOUSING ASSISTANCE GF,Expense,52 - BENEFITS,52413 - WAGE INSURANCE BENEFIT,321.33,212.83,71.39,370.5
40 -  ENGINEERING,40120 - ENG STREETS ADMIN,Expense,51 - SALARIES,51310 - OVERTIME WAGES PERMANENT,321.38,245.27,1051.49,991.27
40 -  ENGINEERING,40360 - ENG FAC MGMT ADMIN,Expense,52 - BENEFITS,52413 - WAGE INSURANCE BENEFIT,322.04,37,260.65,602.85
50 -  LIBRARY,50222751 - LIB COMM ENGAGE TEEN CENTRAL,Expense,53 - SUPPLIES,53250 - FOOD AND BEVERAGE,322.47,507.29,0,0
40 -  ENGINEERING,40139 - ENG MEDIAN MAINTENANCE,Expense,53 - SUPPLIES,53235 - SAFETY SUPPLIES,324,0,20,0
31 -  POLICE,31146 - SPECIAL INVESTIGATIONS UNITS,Expense,54 - PURCHASED SERVICES,54520 - CONFERENCES AND TRAINING,324,100,0,0
62 -  COMMUNITY DEVELOPMENT,62471 - SENIOR CENTER,Expense,53 - SUPPLIES,53315 - BUILDING SUPPLIES,324.14,-245.68,142.99,247.77
30 -  FIRE,30260 - FIRE COMMUNITY EDUCATION,Expense,53 - SUPPLIES,53250 - FOOD AND BEVERAGE,325.23,864.26,1188.26,377.99
44 -  STREETS,44221 - ST LEAF COLLECTION,Expense,54 - PURCHASED SERVICES,54540 - UNIFORM LAUNDRY,325.91,301.25,311.42,352.07
44 -  STREETS,44222 - ST DROP OFF SITES,Expense,54 - PURCHASED SERVICES,54540 - UNIFORM LAUNDRY,325.91,301.25,311.42,352.07
31 -  POLICE,31294658 - 1ST ST PROPERTY,Expense,54 - PURCHASED SERVICES,54220 - PEST CONTROL,326.27,326.27,326.27,326.27
51 -  PARKS,51180 - PARK COM REC OLBRICH GENERAL,Expense,53 - SUPPLIES,53230 - MEDICAL SUPPLIES,326.53,0,66.55,0
40 -  ENGINEERING,40110 - ENG ADMIN DIVISION,Expense,53 - SUPPLIES,53130 - FURNITURE,327.6,539.83,679.24,243.85
40 -  ENGINEERING,40124 - ENG STREETS SURVEY,Expense,52 - BENEFITS,52610 - FICA MEDICARE BENEFITS,327.97,256.22,457.39,330.96
44 -  STREETS,44601 - ST ROADSIDE CLEANUP ADMIN,Expense,54 - PURCHASED SERVICES,54121 - CELLULAR TELEPHONE,328.82,321.7,406.88,372.07
62 -  COMMUNITY DEVELOPMENT,62448 - CHILD CARE SERVICES,Expense,53 - SUPPLIES,53110 - OFFICE SUPPLIES,329.54,806.49,1211.61,334.55
50 -  LIBRARY,50221751 - LIB COMM ENGAGE YOUTH CENTRAL,Expense,54 - PURCHASED SERVICES,54689 - TRANSPORTATION SERVICES,330,0,0,0
